ID,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG_PCT.1,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Height,Position,Weight
203084,32.0,27,771.0,98,204,0.48,40,94,0.48,61,76,0.803,1.5925925925925926,2.5185185185185186,4.111111111111111,1.6666666666666667,0.2962962962962963,0.1851851851851851,19,23,11.0,80,Forward,225.0
1630567,23.0,15,501.0,111,241,0.461,28,90,0.461,54,74,0.73,1.933333333333333,6.133333333333334,8.066666666666666,7.333333333333333,1.2,0.8,53,31,20.266666666666666,79,Forward-Guard,237.0
1629628,24.0,24,824.0,207,455,0.455,48,137,0.455,103,142,0.725,0.9166666666666666,5.833333333333333,6.75,6.125,0.75,0.4583333333333333,83,62,23.541666666666668,78,Forward-Guard,214.0
1629646,24.0,18,194.0,36,64,0.563,0,0,0.563,11,21,0.524,1.5555555555555556,2.5,4.055555555555555,0.5,0.3333333333333333,1.1666666666666667,13,24,4.611111111111111,82,Center-Forward,230.0
1641734,20.0,15,133.0,15,49,0.306,10,33,0.306,1,4,0.25,0.0666666666666666,0.8666666666666667,0.9333333333333332,0.6666666666666666,0.0666666666666666,0.1333333333333333,8,5,2.7333333333333334,80,Forward,170.0
1628966,28.0,53,665.0,72,166,0.434,21,69,0.434,32,42,0.762,0.5849056603773585,1.490566037735849,2.0754716981132075,0.7169811320754716,0.4716981132075472,0.4150943396226415,15,35,3.716981132075472,80,Forward,229.0
1642419,23.0,25,344.0,52,108,0.481,35,81,0.481,9,11,0.818,0.56,1.36,1.92,0.92,0.12,0.16,8,30,5.92,79,Forward,220.0
201587,36.0,28,511.0,34,91,0.374,27,73,0.374,7,10,0.7,0.7142857142857143,2.0,2.7142857142857144,1.4642857142857142,0.4642857142857143,0.4285714285714285,13,39,3.642857142857143,80,Guard-Forward,230.0
203078,31.0,15,502.0,102,207,0.493,31,86,0.493,32,40,0.8,0.6666666666666666,3.533333333333333,4.2,3.2666666666666666,1.1333333333333333,0.7333333333333333,34,44,17.8,76,Guard,207.0
1627736,28.0,28,803.0,161,374,0.43,106,258,0.43,30,42,0.714,0.5714285714285714,2.5,3.071428571428572,2.0357142857142856,0.7142857142857143,0.0714285714285714,30,36,16.357142857142858,76,Guard,187.0
1630699,24.0,11,35.0,6,16,0.375,2,8,0.375,4,4,1.0,0.1818181818181818,0.6363636363636364,0.8181818181818182,0.0909090909090909,0.0909090909090909,0.0,7,3,1.6363636363636365,79,Forward,199.0
1641736,23.0,3,8.0,1,1,1.0,0,0,1.0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1,0.6666666666666666,75,Guard,190.0
1631262,24.0,19,149.0,29,64,0.453,11,29,0.453,5,9,0.556,0.5263157894736842,0.8421052631578947,1.368421052631579,0.8421052631578947,0.1578947368421052,0.0526315789473684,8,14,3.8947368421052633,78,Guard,210.0
1630180,25.0,63,2062.0,290,697,0.416,113,358,0.416,170,203,0.837,2.6507936507936507,3.873015873015873,6.523809523809524,1.4603174603174602,0.8095238095238095,0.1746031746031746,54,88,13.698412698412698,79,Guard-Forward,215.0
1629048,25.0,24,568.0,92,145,0.634,0,12,0.634,35,45,0.778,2.875,4.958333333333333,7.833333333333333,1.9583333333333333,0.75,1.5833333333333333,35,60,9.125,82,Center-Forward,250.0
1641931,25.0,23,268.0,32,84,0.381,12,44,0.381,4,5,0.8,0.2608695652173913,1.1304347826086956,1.391304347826087,0.5652173913043478,0.1304347826086956,0.0869565217391304,10,24,3.4782608695652173,78,Forward,215.0
1641710,20.0,29,706.0,89,211,0.422,19,72,0.422,54,75,0.72,0.5172413793103449,2.206896551724138,2.7241379310344827,3.7586206896551726,0.9655172413793104,0.7586206896551724,64,62,8.655172413793103,79,Guard,200.0
1641778,25.0,26,284.0,25,52,0.481,9,20,0.481,10,15,0.667,0.3461538461538461,1.5,1.8461538461538465,0.9230769230769232,0.3076923076923077,0.4230769230769231,6,19,2.6538461538461537,78,Forward,209.0
203992,32.0,13,332.0,52,128,0.406,29,85,0.406,18,19,0.947,0.6923076923076923,2.6923076923076925,3.3846153846153846,2.1538461538461537,0.9230769230769232,0.3076923076923077,22,33,11.615384615384617,77,Guard,225.0
202711,35.0,57,1478.0,309,681,0.454,133,334,0.454,117,149,0.785,0.3859649122807017,2.280701754385965,2.6666666666666665,1.7017543859649122,0.5263157894736842,0.087719298245614,101,95,15.228070175438596,79,Forward,226.0
1629626,25.0,7,37.0,9,15,0.6,1,5,0.6,4,6,0.667,0.5714285714285714,1.0,1.5714285714285714,0.1428571428571428,0.0,0.0,3,1,3.2857142857142856,87,Center-Forward,220.0
1641737,21.0,14,90.0,8,13,0.615,0,0,0.615,5,6,0.833,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.0,0.0,0.4285714285714285,6,15,1.5,82,Forward,235.0
1626164,28.0,25,926.0,202,462,0.437,69,197,0.437,162,180,0.9,1.16,2.56,3.72,6.4,1.12,0.36,58,57,25.4,78,Guard,206.0
1630527,23.0,25,686.0,113,260,0.435,34,99,0.435,43,52,0.827,0.68,2.92,3.6,3.2,1.52,0.24,37,45,12.12,78,Guard,188.0
1628449,31.0,25,452.0,88,196,0.449,25,94,0.449,42,56,0.75,1.4,3.24,4.64,0.6,0.52,0.76,16,35,9.72,81,Forward,200.0
1631103,21.0,20,251.0,44,100,0.44,17,43,0.44,17,20,0.85,0.15,1.35,1.5,1.25,0.35,0.1,25,14,6.1,76,Forward,180.0
1631128,23.0,23,797.0,131,231,0.567,25,62,0.567,59,76,0.776,1.173913043478261,3.782608695652174,4.956521739130435,1.826086956521739,1.3043478260869563,0.6956521739130435,32,53,15.043478260869565,78,Guard,220.0
1641779,23.0,2,11.0,0,2,0.0,0,2,0.0,1,2,0.5,0.0,0.5,0.5,0.0,0.0,0.0,2,0,0.5,80,Forward,225.0
1628969,28.0,26,999.0,184,379,0.485,59,174,0.485,15,23,0.652,0.9230769230769232,2.576923076923077,3.5,3.230769230769231,1.0384615384615383,0.5384615384615384,39,35,17.0,78,Guard-Forward,209.0
1628970,26.0,14,416.0,84,197,0.426,26,87,0.426,36,43,0.837,0.9285714285714286,5.857142857142857,6.785714285714286,3.142857142857143,0.5,0.4285714285714285,20,20,16.428571428571427,79,Forward,225.0
1627763,32.0,10,241.0,53,104,0.51,10,26,0.51,33,38,0.868,1.0,3.0,4.0,2.9,0.5,0.3,16,20,14.9,76,Guard,229.0
1628415,28.0,27,849.0,132,309,0.427,61,157,0.427,30,36,0.833,1.2592592592592593,2.6296296296296298,3.888888888888889,1.5925925925925926,0.6296296296296297,0.2962962962962963,26,91,13.148148148148149,78,Guard-Forward,225.0
1628971,27.0,67,1865.0,278,582,0.478,53,164,0.478,117,142,0.824,0.7910447761194029,3.4477611940298507,4.2388059701492535,2.8656716417910446,0.8805970149253731,0.2537313432835821,86,148,10.835820895522389,76,Guard-Forward,202.0
1627759,28.0,22,778.0,182,414,0.44,53,159,0.44,102,136,0.75,1.3636363636363635,4.5,5.863636363636363,4.590909090909091,1.181818181818182,0.3636363636363636,59,54,23.59090909090909,78,Guard-Forward,223.0
1631112,21.0,15,63.0,8,15,0.533,0,2,0.533,5,8,0.625,0.2,0.1333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,2,9,1.4,79,Guard,205.0
1641738,24.0,7,47.0,9,20,0.45,1,6,0.45,1,2,0.5,0.7142857142857143,1.5714285714285714,2.2857142857142856,0.5714285714285714,0.1428571428571428,0.0,0,5,2.857142857142857,79,Forward,250.0
1629650,25.0,9,46.0,13,20,0.65,0,0,0.65,3,5,0.6,0.4444444444444444,1.0,1.4444444444444444,0.0,0.2222222222222222,0.1111111111111111,6,6,3.2222222222222223,86,Center,258.0
1629718,27.0,8,37.0,2,10,0.2,2,7,0.2,0,0,0.0,0.125,0.125,0.25,0.0,0.0,0.25,2,5,0.75,78,Guard,199.0
1628973,28.0,26,895.0,219,448,0.489,70,162,0.489,141,172,0.82,0.4230769230769231,2.5384615384615383,2.9615384615384617,7.6923076923076925,0.6538461538461539,0.0769230769230769,62,58,24.96153846153846,74,Guard,190.0
1628418,27.0,11,126.0,15,31,0.484,7,18,0.484,11,11,1.0,0.5454545454545454,2.5454545454545454,3.090909090909091,0.3636363636363636,0.0909090909090909,0.9090909090909092,2,9,4.363636363636363,82,Center-Forward,248.0
1641723,21.0,10,124.0,18,47,0.383,4,19,0.383,13,18,0.722,0.5,1.6,2.1,1.7,0.3,0.2,8,9,5.3,76,Guard,195.0
202692,33.0,12,181.0,21,46,0.457,15,32,0.457,6,8,0.75,0.3333333333333333,1.5833333333333333,1.9166666666666667,1.3333333333333333,0.5,0.25,2,5,5.25,77,Guard,214.0
1630215,24.0,19,212.0,44,95,0.463,7,25,0.463,16,22,0.727,0.2631578947368421,0.7368421052631579,1.0,2.5789473684210527,0.3684210526315789,0.1052631578947368,15,24,5.842105263157895,75,Guard,193.0
202710,35.0,19,619.0,122,221,0.552,10,28,0.552,115,147,0.782,2.6842105263157894,3.3684210526315788,6.052631578947368,5.0,1.3157894736842106,0.4210526315789473,26,20,19.42105263157895,79,Forward,230.0
1641824,20.0,27,346.0,48,129,0.372,23,67,0.372,21,26,0.808,0.5185185185185185,2.185185185185185,2.703703703703704,0.5185185185185185,0.2962962962962963,0.7407407407407407,17,39,5.185185185185185,82,Forward,209.0
1631288,25.0,16,225.0,25,55,0.455,9,28,0.455,10,16,0.625,0.9375,1.875,2.8125,0.625,0.5,0.4375,7,20,4.3125,78,Forward,191.0
